epoch,avg_error,max_error,max_error_example,correct_example,average_validation_loss,epsilon
0,2318.715652557938,14356.375,"(5001709.026607728, 0.0018962526810355484, 14356.34375)","(5065733.003487149, 35135.98882458988, 35135.96875)",0.00010625103593440547,0.07654373115828564
1,2109.015835310581,13731.25,"(5001709.026607728, 0.0018962526810355484, 13731.21875)","(6223202.997590728, 611635.0030695173, 611635.0)",8.799260150236556e-05,0.10629160748519836
2,2001.7310448975024,13571.5,"(5001709.026607728, 0.0018962526810355484, 13571.46875)","(5079291.001405392, 39768.98901884747, 39768.96875)",7.875082902935782e-05,0.1296298490922347
3,1905.8777065002666,12526.53125,"(5001709.026607728, 0.0018962526810355484, 12526.5)","(5478881.00256133, 164086.0028760204, 164085.96875)",7.019897627619779e-05,0.14958550656920835
4,1790.517624795806,10985.96875,"(5001709.026607728, 0.0018962526810355484, 10985.9375)","(5671537.012923763, 228352.99538552074, 228352.96875)",6.082138055510639e-05,0.16735238421253537
5,1973.8780063393065,6291.375,"(6517250.998722632, 794633.989441165, 800925.375)","(6241467.997838184, 623664.999806837, 623665.0)",6.850978353300049e-05,0.18354997537157128
6,1710.945615216648,7521.0,"(5001709.026607728, 0.0018962526810355484, 7520.96875)","(6096073.000259661, 519907.00009978237, 519907.0)",5.357627338811535e-05,0.1985496107552321
7,2791.5709128361873,13224.78125,"(5001709.026607728, 0.0018962526810355484, 13224.75)","(5874700.99990652, 336235.9963119981, 336236.0)",0.00014529072580534154,0.21259497122656928
8,3186.3270146561363,10368.375,"(6439054.013183902, 759411.9938458552, 749043.625)","(5932974.001280445, 378933.0025554477, 378933.0)",0.00018601347531725703,0.2258563234166034
9,3332.3646078338666,12641.6875,"(6517250.998722632, 794633.989441165, 807275.6875)","(5902713.995232983, 355849.99997793924, 355850.0625)",0.0001870207004849296,0.23845830602769147
10,2207.3087311848294,9716.625,"(6517250.998722632, 794633.989441165, 804350.625)","(5170599.0111258, 73686.99621408415, 73686.96875)",0.00010114135344220098,0.2504954191086953
11,4523.096768882066,17407.15625,"(5069533.997007423, 38555.99830812123, 21148.8125)","(6095580.998269729, 519141.9993460709, 519142.0)",0.00042160333529558274,0.2620413812355
12,4249.148644339386,11367.8125,"(6810967.973411857, 983924.0117657708, 972556.1875)","(6522911.991087183, 799558.9860282706, 799559.0)",0.00028134358676096364,0.27315503837082444
13,6564.556162964608,25729.40625,"(5001709.026607728, 0.0018962526810355484, 25729.375)","(6163215.004855673, 571442.9970862705, 571443.0)",0.0008379565270331988,0.28388424377693583
14,2571.994539306013,9785.96875,"(5069533.997007423, 38555.99830812123, 28770.0)","(5951124.99842744, 397254.0005997369, 397254.0)",0.00012793130152933787,0.294268587762645
15,2099.6799901392237,8585.625,"(6722498.984978477, 925356.0072311577, 933941.625)","(5632568.010773044, 217717.9933991182, 217717.96875)",8.352473722656713e-05,0.304341207341475
16,1717.2216650817024,8132.8125,"(6517250.998722632, 794633.989441165, 802766.8125)","(5439233.014701012, 148314.0054975957, 148313.96875)",5.592874161013474e-05,0.3141302453946955
17,2022.0981378493598,10846.5625,"(5001709.026607728, 0.0018962526810355484, 10846.53125)","(5878186.006970984, 340417.0049375448, 340417.0)",8.221893450134212e-05,0.3236598004630741
18,2049.546549714128,8531.375,"(6517250.998722632, 794633.989441165, 803165.375)","(5354818.982805187, 125358.99386387918, 125358.96875)",7.651561757664421e-05,0.33295071528784054
19,4411.463582847865,18276.46875,"(5001709.026607728, 0.0018962526810355484, 18276.4375)","(5969676.000532498, 414917.00202644547, 414916.9375)",0.0003490144417319801,0.34202114834419495
20,3306.856324554572,10551.6875,"(5614769.000674817, 208257.00538614305, 218808.65625)","(6210543.994711938, 599597.9991809812, 599598.0)",0.00019041054821488716,0.35088706434507794
21,2832.6043957569755,14385.0625,"(5001709.026607728, 0.0018962526810355484, 14385.03125)","(5946162.000848573, 392512.0041249976, 392512.0)",0.00017377903259226598,0.35956257225239874
22,1621.031545967818,7141.15625,"(5001709.026607728, 0.0018962526810355484, 7141.125)","(5053148.012016909, 28096.997944365547, 28096.96875)",4.8214833483780376e-05,0.3680602215135141
23,4136.631943939752,11628.6875,"(5001709.026607728, 0.0018962526810355484, 11628.65625)","(5568971.991217523, 199821.98903683753, 199821.96875)",0.00023801520294584972,0.3763911955424599
24,1289.6979331236612,7458.96875,"(5001709.026607728, 0.0018962526810355484, 7458.9375)","(5355435.020667308, 125951.99460663978, 125951.96875)",3.1093638908917636e-05,0.38456559027950027
25,1428.149077554924,6108.375,"(6517250.998722632, 794633.989441165, 800742.375)","(5436367.99257815, 146437.994500926, 146437.96875)",3.803659655907106e-05,0.3925924811807078
26,2055.6545354616314,6759.90625,"(5069533.997007423, 38555.99830812123, 31796.0625)","(5343655.996415308, 119030.00323028915, 119029.96875)",7.071258459003965e-05,0.40048011871008143
27,1624.8956795770025,7144.875,"(6517250.998722632, 794633.989441165, 801778.875)","(5710023.004062067, 240932.00112143636, 240931.984375)",5.1721085189553716e-05,0.40823597088724034
28,1110.4597841468612,5706.9375,"(5001709.026607728, 0.0018962526810355484, 5706.90625)","(5145710.987587914, 64066.01302524627, 64066.0)",2.4301416098802793e-05,0.4158668931093145
29,1223.824941203882,5926.5,"(6517250.998722632, 794633.989441165, 800560.5)","(5154835.989727945, 67782.00319032726, 67781.96875)",2.843102761101584e-05,0.4233791246404391
30,1327.3075617145032,5812.03125,"(5001709.026607728, 0.0018962526810355484, 5812.0)","(5713663.00369364, 242532.992259726, 242532.96875)",3.3647657143394596e-05,0.43077842256029814
31,1124.1116792286957,5178.125,"(6517250.998722632, 794633.989441165, 799812.125)","(5645108.014341101, 221740.99899315293, 221740.96875)",2.374945904703804e-05,0.43807009110731665
32,1105.7580307207782,6980.90625,"(5001709.026607728, 0.0018962526810355484, 6980.875)","(5719912.008188685, 245698.99467702993, 245698.96875)",2.3222382967740557e-05,0.4452590168947668
33,1064.983291986963,5198.5,"(6745143.013129314, 945849.0056151634, 940650.5)","(5853996.998003257, 325732.00813190243, 325732.0)",2.1782216410735526e-05,0.4523497345415715
34,1162.726618026226,5445.4375,"(6745143.013129314, 945849.0056151634, 940403.5625)","(5817018.996650727, 298762.9988612158, 298763.0)",2.5852618411311603e-05,0.4593464179282907
35,1075.4152057105375,5585.75,"(5001709.026607728, 0.0018962526810355484, 5585.71875)","(6039891.000006369, 476400.9991930825, 476401.0)",2.2531485263546287e-05,0.4662529932071343
36,981.9571340115851,5688.46875,"(5001709.026607728, 0.0018962526810355484, 5688.4375)","(5018026.047756017, 13779.993507806503, 13779.96875)",1.909175681012278e-05,0.47307312311471017
37,1096.7316221999195,5552.375,"(6745143.013129314, 945849.0056151634, 940296.625)","(5264648.025438329, 101598.9826824856, 101598.96875)",2.3823667507465665e-05,0.4798101762421666
38,932.9592246778731,4562.78125,"(5001709.026607728, 0.0018962526810355484, 4562.75)","(5079198.971358916, 39672.01489644812, 39672.0)",1.630056149011107e-05,0.48646737031237286
39,891.6645044515955,4524.875,"(6745143.013129314, 945849.0056151634, 941324.125)","(5146075.997064336, 64474.00418829534, 64473.96875)",1.556442377279311e-05,0.4930476492033622
40,868.3354147430995,4654.4375,"(6745143.013129314, 945849.0056151634, 941194.5625)","(5146595.016006289, 64982.98840843415, 64982.96875)",1.4899928795279594e-05,0.4995538495841944
41,860.6297147611446,4626.75,"(6745143.013129314, 945849.0056151634, 941222.25)","(5053528.985889148, 28503.01428605814, 28503.0)",1.4761429212248288e-05,0.505988567785112
42,833.4218308938786,4284.03125,"(5001709.026607728, 0.0018962526810355484, 4284.0)","(5036712.020904203, 21646.988872211426, 21646.96875)",1.3368997684372835e-05,0.5123543213061552
43,840.5169335504246,4419.375,"(6745143.013129314, 945849.0056151634, 941429.625)","(5236025.976672917, 92979.99613312987, 92979.96875)",1.3986385799868104e-05,0.5186533996703653
44,813.2567377326656,4228.71875,"(5001709.026607728, 0.0018962526810355484, 4228.6875)","(5405635.00462171, 138508.98281673022, 138508.96875)",1.2908990641677877e-05,0.5248880660255616
45,794.978006917409,4298.0,"(6745143.013129314, 945849.0056151634, 941551.0)","(5197442.027532338, 81251.01240722003, 81251.0)",1.2635562810805517e-05,0.531060373996677
