epoch,avg_error,max_error,max_error_example,correct_example,average_validation_loss,epsilon
0,1960.9840720221607,7196.669921875,"(11.000008384940855, 1.0001744843111737, 7197.67041015625)","(251.9999986814146, 7694.999998943132, 7697.5556640625)",0.7841625809669495,0.07440324465919243
1,1312.1853358725762,6481.30712890625,"(16.999997044033023, 10.00001884005178, 6491.3076171875)","(586.999989632841, 9754.9999465631, 9753.8193359375)",0.5591833591461182,0.10330824797393975
2,786.5855263157895,4228.921875,"(26.000005919164465, 62.99981910178485, 4291.921875)","(311.00000221356845, 8487.000011688655, 8486.9970703125)",0.22635652124881744,0.12598708687783322
3,172.5412266274238,995.41650390625,"(47.99999597488298, 512.9999220571217, 1508.4169921875)","(661.9999945616212, 9826.999955867619, 9826.830078125)",0.00968550518155098,0.14537984826904649
4,21.53000021641274,127.06103515625,"(70.00000328826364, 1354.9996973416128, 1482.06103515625)","(8.000005426563717, 0.00019177811827830737, 0.0)",0.0006407086038962007,0.16264599165017568
5,12.922432262811634,102.00048828125,"(28.999991619879466, 101.99986147681011, 0.0)","(8.000005426563717, 0.00019177811827830737, 0.0)",0.000518161104992032,0.17838730349209186
6,10.21704304449446,102.00048828125,"(28.999991619879466, 101.99986147681011, 0.0)","(8.000005426563717, 0.00019177811827830737, 0.0)",0.00046733886119909585,0.19296453835042757
7,10.032696583924862,92.9482421875,"(28.999991619879466, 101.99986147681011, 9.05224609375)","(8.000005426563717, 0.00019177811827830737, 0.0)",0.00039067797479219735,0.2066143565916827
8,10.824765868464334,90.00048828125,"(27.9999963863078, 90.000069002489, 0.0)","(8.000005426563717, 0.00019177811827830737, 0.0)",0.00035179106635041535,0.21950236536706058
9,9.086231009781857,78.00048828125,"(27.000001152736132, 78.00027652816789, 0.0)","(8.000005426563717, 0.00019177811827830737, 0.0)",0.00026519576204009354,0.23174951933652838
10,15.531278404172438,80.09521484375,"(27.9999963863078, 90.000069002489, 9.9052734375)","(8.000005426563717, 0.00019177811827830737, 0.0)",0.00028227228904142976,0.2434477481773724
11,14.881706089854571,59.8427734375,"(42.99999392053141, 382.000037045339, 441.84326171875)","(8.000005426563717, 0.00019177811827830737, 0.0)",0.00017523401766084135,0.25466860000217034
12,14.999372403047092,52.48095703125,"(24.99999342793066, 55.999940158430945, 3.51953125)","(8.000005426563717, 0.00019177811827830737, 0.0)",0.00014660958549939096,0.26546925506816066
13,10.125588372143351,46.01806640625,"(34.99999753663377, 187.99980787640743, 234.01806640625)","(8.000005426563717, 0.00019177811827830737, 0.0)",9.767955634742975e-05,0.2758963091126455
14,9.156213480349724,44.00048828125,"(23.999998194358994, 44.000147684109834, 0.0)","(8.000005426563717, 0.00019177811827830737, 0.0)",9.782479901332408e-05,0.2859881446907108
15,10.91344301852493,58.66015625,"(34.99999753663377, 187.99980787640743, 246.66015625)","(8.000005426563717, 0.00019177811827830737, 0.0)",6.0194543038960546e-05,0.29577699840232513
16,10.50696916659453,56.10400390625,"(34.99999753663377, 187.99980787640743, 244.10400390625)","(8.000005426563717, 0.00019177811827830737, 0.0)",5.947025420027785e-05,0.305290202612548
17,9.789487210006925,32.43408203125,"(92.00000197281322, 2453.0000632459905, 2420.56640625)","(8.000005426563717, 0.00019177811827830737, 0.0)",5.020823664381169e-05,0.31455121242317174
18,7.397734158587258,38.9482421875,"(79.00000353456402, 1815.9999684818176, 1777.05224609375)","(8.000005426563717, 0.00019177811827830737, 0.0)",4.41819938714616e-05,0.3235802456545872
19,7.156116094615651,56.4326171875,"(34.000002303062104, 169.0001364587324, 225.43310546875)","(8.000005426563717, 0.00019177811827830737, 0.0)",2.7474969101604074e-05,0.332394964486281
20,10.623100301895775,41.64306640625,"(34.000002303062104, 169.0001364587324, 210.6435546875)","(8.000005426563717, 0.00019177811827830737, 0.0)",3.0092793167568743e-05,0.34101090296418624
21,6.605337549774931,24.0,"(20.999995235981828, 23.9997767267605, 0.0)","(8.000005426563717, 0.00019177811827830737, 0.0)",2.687415872060228e-05,0.349441743684929
22,6.050340309037396,36.39794921875,"(34.000002303062104, 169.0001364587324, 205.3984375)","(8.000005426563717, 0.00019177811827830737, 0.0)",1.6589903680142015e-05,0.35769968114609224
23,11.342996613140581,48.04736328125,"(34.000002303062104, 169.0001364587324, 217.0478515625)","(8.000005426563717, 0.00019177811827830737, 0.0)",2.8148295314167626e-05,0.36579562042911246
24,10.319369751990997,31.048828125,"(92.00000197281322, 2453.0000632459905, 2421.95166015625)","(8.000005426563717, 0.00019177811827830737, 0.0)",2.690134169824887e-05,0.37373935391960644
25,7.992426230306441,37.72509765625,"(26.000005919164465, 62.99981910178485, 100.72509765625)","(8.000005426563717, 0.00019177811827830737, 0.0)",1.4940092114557046e-05,0.38153970188492803
26,5.887154280644045,24.66796875,"(110.00000246541398, 3313.9998683648973, 3338.66796875)","(8.000005426563717, 0.00019177811827830737, 0.0)",1.0967017260554712e-05,0.3892046590508139
27,5.536464532656683,23.435546875,"(26.000005919164465, 62.99981910178485, 86.435546875)","(8.000005426563717, 0.00019177811827830737, 0.0)",8.556397915526759e-06,0.39674153005429685
28,5.987875476108033,22.117919921875,"(122.00000135567598, 3865.9999994356663, 3888.1181640625)","(8.000005426563717, 0.00019177811827830737, 0.0)",1.099128530768212e-05,0.4041569475524829
29,4.698758872922438,27.05126953125,"(122.00000135567598, 3865.9999994356663, 3893.051513671875)","(8.000005426563717, 0.00019177811827830737, 0.0)",8.471809451293666e-06,0.41145698991286067
30,5.425895204834661,28.5908203125,"(23.999998194358994, 44.000147684109834, 72.59130859375)","(8.000005426563717, 0.00019177811827830737, 0.0)",7.189409643615363e-06,0.4186472425185621
31,4.8811363156812675,21.66748046875,"(103.99999654865968, 3052.000098341332, 3030.3330078125)","(8.000005426563717, 0.00019177811827830737, 0.0)",5.85191946811392e-06,0.4257328700055655
32,4.850349912352839,24.0439453125,"(122.00000135567598, 3865.9999994356663, 3890.044189453125)","(8.000005426563717, 0.00019177811827830737, 0.0)",5.119571142131463e-06,0.4327186091590254
33,4.698765973965547,24.82861328125,"(79.00000353456402, 1815.9999684818176, 1791.171875)","(8.000005426563717, 0.00019177811827830737, 0.0)",4.733610694529489e-06,0.4396088695945677
34,5.80151637703428,26.08544921875,"(97.00000402716479, 2668.9999119511767, 2695.08544921875)","(8.000005426563717, 0.00019177811827830737, 0.0)",5.885988684894983e-06,0.44640773613300355
35,4.651343855501212,24.83154296875,"(79.00000353456402, 1815.9999684818176, 1791.1689453125)","(608.9999883173906, 9780.000051843046, 9780.0)",4.4478042582341e-06,0.4531190012248969
36,4.877798487274931,24.5703125,"(70.00000328826364, 1354.9996973416128, 1379.5703125)","(8.000005426563717, 0.00019177811827830737, 0.0)",4.723122856375994e-06,0.4597462125868553
37,4.577565032029086,22.7265625,"(79.00000353456402, 1815.9999684818176, 1793.27392578125)","(8.000005426563717, 0.00019177811827830737, 0.0)",4.308323696022853e-06,0.4662926796726595
38,4.649791094074619,19.7685546875,"(110.00000246541398, 3313.9998683648973, 3333.7685546875)","(8.000005426563717, 0.00019177811827830737, 0.0)",4.2746819417516235e-06,0.4727614815842219
39,4.579903304081545,20.2275390625,"(174.00000050169223, 5848.999934615964, 5828.7724609375)","(8.000005426563717, 0.00019177811827830737, 0.0)",3.972121703554876e-06,0.47915553070100275
40,4.5027626439144735,21.12939453125,"(70.00000328826364, 1354.9996973416128, 1376.12939453125)","(8.000005426563717, 0.00019177811827830737, 0.0)",4.3418554014351685e-06,0.4854775435745644
41,4.2924334666075135,18.9228515625,"(79.00000353456402, 1815.9999684818176, 1797.07763671875)","(492.9999889778884, 9557.999948483959, 9558.0)",4.116550371691119e-06,0.49173008583730304
42,4.360985584206198,23.03173828125,"(97.00000402716479, 2668.9999119511767, 2692.03173828125)","(8.000005426563717, 0.00019177811827830737, 0.0)",3.9802112041797955e-06,0.49791555387284664
43,4.275692926549516,18.78173828125,"(79.00000353456402, 1815.9999684818176, 1797.21875)","(8.000005426563717, 0.00019177811827830737, 0.0)",3.8021887576178415e-06,0.5040362336047715
