epoch,avg_error,max_error,max_error_example,correct_example,average_validation_loss,epsilon
0,34493.73933333333,316239.875,"(11382.000291859262, 999747.0041561043, 1315986.875)","(3733.000022189283, 769251.0027629512, 769254.75)",0.05789893720712927,0.08061987434011693
1,4722.35325,32648.625,"(11316.999969596385, 997464.0114356407, 1030112.625)","(3671.999969040347, 757884.9940423216, 757885.3125)",0.0007651826187308567,0.1121739268060223
2,1586.6805,12868.0625,"(1.0000531972918907, -0.012272312305867672, 12868.03125)","(2864.9999989333487, 613112.0021944877, 613111.9375)",7.164353377851917e-05,0.13692664546204586
3,1126.640875,7319.34375,"(1.0000531972918907, -0.012272312305867672, 7319.3125)","(3113.9999968190496, 658585.0054645003, 658584.8125)",3.07454148343014e-05,0.15809109499012686
4,1041.1552777777779,5760.65625,"(21.999902233347257, 3980.984023427067, 9741.625)","(2731.9999957118143, 588709.0031380391, 588709.125)",2.3788396801036368e-05,0.17693390039062715
5,936.1703055555555,4251.5625,"(21.999902233347257, 3980.984023427067, 8232.53125)","(1422.0000372912464, 310757.00040175463, 310757.21875)",1.8070343180119784e-05,0.19411240916471018
6,2143.0804722222224,6426.0,"(4000.9999653576665, 818666.0002714619, 812240.0)","(4767.999999837602, 855957.0059764113, 855961.125)",7.558937957381002e-05,0.21002058445454638
7,11169.556666666667,30543.0,"(11316.999969596385, 997464.0114356407, 1028007.0)","(4000.9999653576665, 818666.0002714619, 818745.5)",0.0018887049130474527,0.22491677745679703
8,6074.931277777778,17546.78125,"(1.0000531972918907, -0.012272312305867672, 17546.75)","(4438.000068129568, 845531.9854997065, 845532.375)",0.0005580138450669539,0.2389817214559645
9,12166.715555555556,19242.5625,"(564.0000038299245, 127090.99856196821, 107848.40625)","(1.0000531972918907, -0.012272312305867672, 0.0)",0.001991359232407477,0.25234749852784
10,10564.206333333334,23890.5625,"(8566.000151118744, 937842.0045220461, 913951.4375)","(37.000138925112424, 8508.993557495938, 8564.78125)",0.0017449765388543408,0.265114369169446
11,1462.4568333333334,8681.25,"(4000.9999653576665, 818666.0002714619, 809984.75)","(801.000065775143, 174832.98718258156, 174832.90625)",4.990688264822691e-05,0.27736051532291406
12,11095.204444444444,30050.25,"(11264.999711786086, 996113.9979805029, 1026164.25)","(4000.9999653576665, 818666.0002714619, 821538.75)",0.0017744089580244487,0.2891483190539042
13,4252.705888888889,11154.4375,"(21.999902233347257, 3980.984023427067, 15135.40625)","(8172.999918658143, 927963.9972836708, 927963.125)",0.00029610025861378136,0.30052857118984433
14,7232.309972222222,27379.375,"(9897.000071622027, 968780.9891876889, 941401.625)","(1081.9999980316616, 237512.0045421422, 237502.375)",0.00113982317432399,0.3115432107574269
15,2417.648375,8398.0,"(4000.9999653576665, 818666.0002714619, 810268.0)","(1.0000531972918907, -0.012272312305867672, 0.0)",0.00010815808996590527,0.3222274006662881
16,1765.4820833333333,7954.0,"(11140.999885435664, 995279.9963423666, 987326.0)","(711.0000021844717, 155612.00584700587, 155613.28125)",6.556294910195802e-05,0.33261096003749036
17,4643.280388888889,15171.625,"(4994.000018840556, 859820.0033207881, 874991.625)","(1.0000531972918907, -0.012272312305867672, 0.0)",0.0004046701667700998,0.34271945130631004
18,8151.633722222222,28176.875,"(11316.999969596385, 997464.0114356407, 1025640.875)","(3936.000019916991, 806798.9965687044, 806780.5)",0.0010258316243481305,0.352574970746153
19,1789.099125,10119.125,"(10903.999823490445, 987554.0016536126, 997673.125)","(1647.9999809297594, 359545.9961205005, 359544.75)",8.659804492102315e-05,0.36219678238625463
20,1035.6921944444443,5682.6875,"(11140.999885435664, 995279.9963423666, 989597.3125)","(3783.9999677866685, 779028.9978810683, 779029.0)",2.809314436389185e-05,0.37160180041122415
21,2289.5384444444444,14649.875,"(9897.000071622027, 968780.9891876889, 954131.125)","(4329.9999616749865, 836764.9904467695, 836765.375)",0.00013977188993723958,0.3808049908319727
22,3102.876222222222,8858.5,"(10630.000041884452, 981857.0149514934, 990715.5)","(3978.000019446861, 814277.0132575785, 814337.0)",0.00015051608109691492,0.38981963516453305
23,2399.513861111111,9107.59375,"(21.999902233347257, 3980.984023427067, 13088.5625)","(2032.9999766202395, 445544.00145444286, 445543.1875)",0.0001312534742383933,0.3986576342570759
24,3208.8206666666665,21379.625,"(10903.999823490445, 987554.0016536126, 1008933.625)","(3974.999987181396, 813699.999720246, 813693.875)",0.0003352397777942113,0.4073296609812161
25,1425.6523402777777,15660.375,"(11382.000291859262, 999747.0041561043, 984086.625)","(1.0000531972918907, -0.012272312305867672, 0.0)",9.23500966665516e-05,0.41584534663833245
26,1193.658888888889,6319.625,"(8895.999932097899, 941556.0014937326, 947875.625)","(438.99994063102804, 98315.00542077655, 98317.1875)",3.362706977188484e-05,0.4242134160848252
27,853.9235972222223,4879.0,"(7752.999923359437, 914530.0035472236, 919409.0)","(2024.9999659434395, 444181.9995594641, 444182.65625)",1.5725903722341172e-05,0.43244182754604954
28,2097.2855416666666,9122.625,"(11361.999775298402, 999402.9851545219, 990280.375)","(1.0000531972918907, -0.012272312305867672, 0.0)",8.86071124518316e-05,0.44053780047520835
