epoch,avg_error,max_error,max_error_example,correct_example,average_validation_loss,epsilon
0,2465.5,5057.3544921875,"(999.9999985187434, 9995.99997045859, 4938.6455078125)","(489.0000003715896, 4835.000000087779, 4834.486328125)",0.97890704870224,0.08956959281044004
1,2382.0425,4916.68603515625,"(999.9999985187434, 9995.99997045859, 5079.31396484375)","(486.999999657592, 4816.999997845692, 4817.61572265625)",0.9179922342300415,0.12496721305920044
2,2205.0125,4623.75927734375,"(999.9999985187434, 9995.99997045859, 5372.24072265625)","(489.0000003715896, 4835.000000087779, 4833.02001953125)",0.7943841814994812,0.15272926793294744
3,1773.103875,3904.49609375,"(999.9999985187434, 9995.99997045859, 6091.50390625)","(491.00000000793085, 4853.999995300326, 4855.4599609375)",0.528704047203064,0.17646517828943978
4,549.1116875,1871.55419921875,"(999.9999985187434, 9995.99997045859, 8124.44580078125)","(505.9999999746312, 4994.999999449405, 4995.00341796875)",0.07673123478889465,0.19759691209476618
5,81.6387265625,443.64501953125,"(2.0000129477189716, 3.000013464537915, 446.64501953125)","(428.99999727181944, 4233.99999676798, 4233.97265625)",0.0018652949947863817,0.21686228084770323
6,31.646478515625,226.955078125,"(2.0000129477189716, 3.000013464537915, 229.955078125)","(559.0000005754099, 5532.000015365376, 5532.0107421875)",0.00030041832360439,0.23470316452436316
7,23.4970703125,185.16552734375,"(2.0000129477189716, 3.000013464537915, 188.16552734375)","(799.0000000426152, 7933.000028270892, 7932.9912109375)",0.00017250282689929008,0.2514096501421897
8,17.46878125,149.40576171875,"(2.0000129477189716, 3.000013464537915, 152.40576171875)","(69.99998549613503, 733.0001616264317, 732.9619140625)",0.00010525297693675384,0.26718418514885744
9,15.4037099609375,120.5673828125,"(2.0000129477189716, 3.000013464537915, 123.5673828125)","(750.0000041028004, 7441.9999384953335, 7441.9716796875)",7.357010326813906e-05,0.2821750541045106
10,13.1239580078125,104.53125,"(2.0000129477189716, 3.000013464537915, 107.53125)","(626.0000029412026, 6198.999983981561, 6199.03076171875)",5.189718649489805e-05,0.2964946457085028
11,13.3052060546875,68.0419921875,"(2.0000129477189716, 3.000013464537915, 71.0419921875)","(922.9999925829628, 9208.0001012362, 9208.009765625)",3.718700463650748e-05,0.310230713116081
12,17.021208984375,65.8623046875,"(2.0000129477189716, 3.000013464537915, 68.8623046875)","(395.0000023763613, 3904.0000415122495, 3903.94482421875)",4.88926780235488e-05,0.3234530928546653
13,17.48130078125,52.18408203125,"(74.00000416663045, 774.9999951595637, 722.81591796875)","(530.000000999008, 5225.999998712194, 5225.92333984375)",4.853176506003365e-05,0.3362188052869164
14,14.28944921875,42.70166015625,"(2.0000129477189716, 3.000013464537915, 45.70166015625)","(751.9999961955479, 7461.000083943985, 7461.0498046875)",3.3506687032058835e-05,0.34857482622602676
15,9.4626279296875,33.0810546875,"(74.00000416663045, 774.9999951595637, 741.9189453125)","(1.0000169013452478, 9.894005870592082e-05, 0.0)",1.661709029576741e-05,0.3605605843628574
16,15.4711376953125,45.54296875,"(74.00000416663045, 774.9999951595637, 729.45703125)","(1.0000169013452478, 9.894005870592082e-05, 0.0)",4.034081212012097e-05,0.37220951527651325
17,9.5774482421875,32.2431640625,"(520.9999999413316, 5129.9999974855455, 5162.2431640625)","(464.00000114552654, 4589.999983878681, 4590.04541015625)",1.6456291632493958e-05,0.383550251768839
18,8.864736328125,27.3349609375,"(22.000002845194274, 189.99983644252734, 217.33447265625)","(369.0000017156432, 3631.9999790154197, 3632.013671875)",1.3741397197009064e-05,0.3946075916780455
19,8.74111328125,30.8603515625,"(22.000002845194274, 189.99983644252734, 220.85986328125)","(100.0000048273485, 1003.9999950674951, 1004.0087890625)",1.4017238754604477e-05,0.40540310192405254
20,8.056193359375,26.62109375,"(743.9999933395576, 7389.000074975636, 7362.37890625)","(100.0000048273485, 1003.9999950674951, 1003.998779296875)",1.230898760695709e-05,0.41595577755957
21,8.6893388671875,30.43017578125,"(75.00000021300411, 785.0000536379694, 754.56982421875)","(505.0000000217535, 4989.999999720865, 4990.0009765625)",1.4630908481194638e-05,0.4262823358175611
22,7.83708984375,26.164306640625,"(86.99998725448921, 903.0001255688985, 876.835693359375)","(373.999999190012, 3682.0000138598407, 3681.988525390625)",1.1783941772591788e-05,0.43639770498481706
23,8.0538701171875,29.73583984375,"(86.99998725448921, 903.0001255688985, 873.26416015625)","(1.0000169013452478, 9.894005870592082e-05, 0.0)",1.2602620699908584e-05,0.4463151905573126
24,8.314232421875,30.013671875,"(854.9999855495462, 8560.00002052106, 8529.986328125)","(1.0000169013452478, 9.894005870592082e-05, 0.0)",1.340479684586171e-05,0.4560467746557714
25,7.9988271484375,27.3369140625,"(86.99998725448921, 903.0001255688985, 875.6630859375)","(1.0000169013452478, 9.894005870592082e-05, 0.0)",1.155142945208354e-05,0.4656032332263459
26,8.264923828125,27.1181640625,"(86.99998725448921, 903.0001255688985, 875.8818359375)","(1.0000169013452478, 9.894005870592082e-05, 0.0)",1.2464945029933006e-05,0.4749943706488201
27,8.4879541015625,33.51416015625,"(86.99998725448921, 903.0001255688985, 869.48583984375)","(1.0000169013452478, 9.894005870592082e-05, 0.0)",1.4067079064261634e-05,0.4842290620039855
